timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
3090,1001.4417,23.1300,98.7624,-0.0060,0.0100,1.0150,0.9800,-1.4700,-0.1400,-0.0718,0.0527,9.9359,-0.0011,0.0011,0.0053,16.9500,27.9000,21.4500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3115,1001.4341,23.1300,98.8260,-0.0080,0.0060,1.0160,0.9100,-1.4000,-0.0700,-0.0431,0.0383,9.9359,-0.0085,0.0011,0.0032,16.2000,27.1500,22.6500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3140,1001.4341,23.1300,98.8260,-0.0090,0.0050,1.0150,0.9100,-1.4000,-0.0700,-0.1293,0.0000,9.9503,0.0011,-0.0053,0.0053,17.2500,28.2000,21.9000,26.6549,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3165,1001.4375,23.1300,98.7973,-0.0110,0.0070,1.0150,0.9100,-1.6100,0.0000,-0.1532,0.0239,9.9742,-0.0032,-0.0032,0.0000,16.3500,28.5000,21.7500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3207,1001.4597,23.1300,98.6105,-0.0100,0.0120,1.0160,0.8400,-1.4000,-0.0700,-0.1820,0.0144,9.9120,-0.0043,0.0000,0.0053,16.3500,28.5000,21.3000,26.5111,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3258,1001.4385,23.1300,98.7890,-0.0090,0.0110,1.0150,0.9100,-1.5400,-0.1400,-0.1149,0.0479,9.9024,-0.0032,-0.0064,0.0011,16.5000,28.6500,21.4500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075260,0,0
3283,1001.4385,23.1300,98.7890,-0.0080,0.0070,1.0160,0.9100,-1.5400,-0.0700,-0.1628,0.0670,9.9311,-0.0064,-0.0032,0.0064,16.2000,28.2000,22.9500,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075260,0,0
3308,1001.4512,23.1300,98.6824,-0.0080,0.0070,1.0150,0.9800,-1.4000,-0.0700,-0.1580,-0.0383,10.0030,-0.0074,-0.0011,0.0064,15.6000,27.7500,22.0500,26.4632,0.00,0.00,-17000.00,0.00,0,0,0,1615075260,0,0
3333,1001.4224,23.1400,98.9245,-0.0090,0.0080,1.0160,1.0500,-1.1900,0.0000,-0.1341,0.0479,9.9599,0.0053,-0.0021,0.0021,16.9500,27.1500,22.2000,26.5111,0.00,0.00,-17000.00,0.00,0,0,0,1615075260,0,0
3358,1001.4224,23.1400,98.9245,-0.0090,0.0080,1.0150,0.9100,-1.5400,-0.0700,-0.1915,0.0622,9.9886,-0.0032,0.0032,0.0064,17.8500,28.5000,22.3500,26.5111,0.00,0.00,-17000.00,0.00,0,0,0,1615075260,0,0
